
Train 12467, Val 496, Test 1153
TOTAL TRAINABLE PARAMETERS : 97319
RATIOS: Temporal  88.5% , Classifier  11.5%
EPOCH 1/2
Step [100/12467], Loss: 1.1709, Acc : 62.81
Step [200/12467], Loss: 0.8358, Acc : 72.95
Step [300/12467], Loss: 0.6833, Acc : 77.35
Step [400/12467], Loss: 0.5912, Acc : 80.00
Step [500/12467], Loss: 0.5330, Acc : 81.68
Step [600/12467], Loss: 0.4863, Acc : 83.05
Step [700/12467], Loss: 0.4505, Acc : 84.13
Step [800/12467], Loss: 0.4233, Acc : 84.95
Step [900/12467], Loss: 0.4000, Acc : 85.68
Step [1000/12467], Loss: 0.3809, Acc : 86.24
Step [1100/12467], Loss: 0.3644, Acc : 86.74
Step [1200/12467], Loss: 0.3504, Acc : 87.17
Step [1300/12467], Loss: 0.3379, Acc : 87.55
Step [1400/12467], Loss: 0.3269, Acc : 87.89
Step [1500/12467], Loss: 0.3169, Acc : 88.21
Step [1600/12467], Loss: 0.3078, Acc : 88.51
Step [1700/12467], Loss: 0.2991, Acc : 88.78
Step [1800/12467], Loss: 0.2918, Acc : 89.01
Step [1900/12467], Loss: 0.2846, Acc : 89.24
Step [2000/12467], Loss: 0.2781, Acc : 89.46
Step [2100/12467], Loss: 0.2722, Acc : 89.64
Step [2200/12467], Loss: 0.2667, Acc : 89.82
Step [2300/12467], Loss: 0.2616, Acc : 89.99
Step [2400/12467], Loss: 0.2566, Acc : 90.15
Step [2500/12467], Loss: 0.2517, Acc : 90.31
Step [2600/12467], Loss: 0.2475, Acc : 90.44
Step [2700/12467], Loss: 0.2434, Acc : 90.57
Step [2800/12467], Loss: 0.2399, Acc : 90.68
Step [2900/12467], Loss: 0.2363, Acc : 90.80
Step [3000/12467], Loss: 0.2328, Acc : 90.92
Step [3100/12467], Loss: 0.2295, Acc : 91.02
Step [3200/12467], Loss: 0.2264, Acc : 91.13
Step [3300/12467], Loss: 0.2233, Acc : 91.23
Step [3400/12467], Loss: 0.2205, Acc : 91.32
Step [3500/12467], Loss: 0.2180, Acc : 91.42
Step [3600/12467], Loss: 0.2154, Acc : 91.50
Step [3700/12467], Loss: 0.2129, Acc : 91.59
Step [3800/12467], Loss: 0.2107, Acc : 91.67
Step [3900/12467], Loss: 0.2085, Acc : 91.74
Step [4000/12467], Loss: 0.2063, Acc : 91.81
Step [4100/12467], Loss: 0.2042, Acc : 91.89
Step [4200/12467], Loss: 0.2019, Acc : 91.96
Step [4300/12467], Loss: 0.1998, Acc : 92.03
Step [4400/12467], Loss: 0.1980, Acc : 92.09
Step [4500/12467], Loss: 0.1962, Acc : 92.15
Step [4600/12467], Loss: 0.1945, Acc : 92.21
Step [4700/12467], Loss: 0.1926, Acc : 92.28
Step [4800/12467], Loss: 0.1909, Acc : 92.34
Step [4900/12467], Loss: 0.1893, Acc : 92.39
Step [5000/12467], Loss: 0.1876, Acc : 92.45
Step [5100/12467], Loss: 0.1863, Acc : 92.49
Step [5200/12467], Loss: 0.1849, Acc : 92.53
Step [5300/12467], Loss: 0.1834, Acc : 92.59
