
Train 12467, Val 496, Test 1153
TOTAL TRAINABLE PARAMETERS : 97319
RATIOS: Temporal  88.5% , Classifier  11.5%
EPOCH 1/2
Step [100/12467], Loss: 1.7470, Acc : 45.42
Step [200/12467], Loss: 1.1983, Acc : 63.61
Step [300/12467], Loss: 0.9383, Acc : 71.18
Step [400/12467], Loss: 0.7912, Acc : 75.31
Step [500/12467], Loss: 0.6933, Acc : 78.06
Step [600/12467], Loss: 0.6232, Acc : 79.99
Step [700/12467], Loss: 0.5704, Acc : 81.48
Step [800/12467], Loss: 0.5288, Acc : 82.61
Step [900/12467], Loss: 0.4944, Acc : 83.60
Step [1000/12467], Loss: 0.4656, Acc : 84.44
Step [1100/12467], Loss: 0.4413, Acc : 85.12
Step [1200/12467], Loss: 0.4200, Acc : 85.71
Step [1300/12467], Loss: 0.4026, Acc : 86.19
Step [1400/12467], Loss: 0.3869, Acc : 86.64
Step [1500/12467], Loss: 0.3734, Acc : 87.03
Step [1600/12467], Loss: 0.3618, Acc : 87.37
Step [1700/12467], Loss: 0.3512, Acc : 87.68
Step [1800/12467], Loss: 0.3412, Acc : 87.96
Step [1900/12467], Loss: 0.3317, Acc : 88.23
Step [2000/12467], Loss: 0.3226, Acc : 88.50
Step [2100/12467], Loss: 0.3145, Acc : 88.73
Step [2200/12467], Loss: 0.3074, Acc : 88.95
Step [2300/12467], Loss: 0.3004, Acc : 89.16
Step [2400/12467], Loss: 0.2941, Acc : 89.33
Step [2500/12467], Loss: 0.2882, Acc : 89.52
Step [2600/12467], Loss: 0.2826, Acc : 89.69
Step [2700/12467], Loss: 0.2773, Acc : 89.85
Step [2800/12467], Loss: 0.2723, Acc : 90.00
Step [2900/12467], Loss: 0.2679, Acc : 90.14
Step [3000/12467], Loss: 0.2635, Acc : 90.27
Step [3100/12467], Loss: 0.2592, Acc : 90.40
Step [3200/12467], Loss: 0.2551, Acc : 90.53
Step [3300/12467], Loss: 0.2514, Acc : 90.64
Step [3400/12467], Loss: 0.2479, Acc : 90.76
Step [3500/12467], Loss: 0.2444, Acc : 90.85
Step [3600/12467], Loss: 0.2412, Acc : 90.95
Step [3700/12467], Loss: 0.2379, Acc : 91.05
Step [3800/12467], Loss: 0.2351, Acc : 91.15
Step [3900/12467], Loss: 0.2321, Acc : 91.24
Step [4000/12467], Loss: 0.2293, Acc : 91.32
Step [4100/12467], Loss: 0.2266, Acc : 91.41
Step [4200/12467], Loss: 0.2241, Acc : 91.48
Step [4300/12467], Loss: 0.2217, Acc : 91.55
Step [4400/12467], Loss: 0.2193, Acc : 91.63
Step [4500/12467], Loss: 0.2172, Acc : 91.69
Step [4600/12467], Loss: 0.2151, Acc : 91.76
Step [4700/12467], Loss: 0.2132, Acc : 91.82
Step [4800/12467], Loss: 0.2111, Acc : 91.88
Step [4900/12467], Loss: 0.2092, Acc : 91.94
Step [5000/12467], Loss: 0.2073, Acc : 92.00
Step [5100/12467], Loss: 0.2054, Acc : 92.06
Step [5200/12467], Loss: 0.2034, Acc : 92.12
Step [5300/12467], Loss: 0.2017, Acc : 92.17
