gt_source,gt_target,pred_source,pred_target,count
Industrial and commercial areas,Industrial and commercial areas,Diffuse built-up area,Industrial and commercial areas,90854
Industrial and commercial areas,Industrial and commercial areas,Orchards and fruit growing,Industrial and commercial areas,23432
Roads,Roads,Industrial and commercial areas,Roads,21128
Soy,Soy,Sunflower,Soy,18525
Vineyards,Vineyards,Industrial and commercial areas,Vineyards,14313
Woody moorlands,Woody moorlands,Orchards and fruit growing,Woody moorlands,11573
Hardwood forest,Hardwood forest,Sunflower,Hardwood forest,10881
Dense built-up area,Dense built-up area,Diffuse built-up area,Dense built-up area,10373
Corn,Corn,Sunflower,Corn,10226
Corn,Corn,Soy,Corn,9930
Industrial and commercial areas,Industrial and commercial areas,Sunflower,Industrial and commercial areas,9847
Hardwood forest,Hardwood forest,Diffuse built-up area,Hardwood forest,9273
Hardwood forest,Hardwood forest,Industrial and commercial areas,Hardwood forest,7982
Industrial and commercial areas,Industrial and commercial areas,Industrial and commercial areas,Diffuse built-up area,7264
Woody moorlands,Woody moorlands,Industrial and commercial areas,Woody moorlands,6908
Orchards and fruit growing,Orchards and fruit growing,Sunflower,Orchards and fruit growing,6627
Dense built-up area,Dense built-up area,Diffuse built-up area,Industrial and commercial areas,6418
Woody moorlands,Woody moorlands,Softwood forest,Woody moorlands,5917
Vineyards,Vineyards,Softwood forest,Vineyards,5642
Orchards and fruit growing,Orchards and fruit growing,Industrial and commercial areas,Orchards and fruit growing,5522
Industrial and commercial areas,Industrial and commercial areas,Softwood forest,Industrial and commercial areas,5377
Diffuse built-up area,Diffuse built-up area,Industrial and commercial areas,Diffuse built-up area,5119
Woody moorlands,Woody moorlands,Natural grasslands and pastures,Woody moorlands,4785
Industrial and commercial areas,Industrial and commercial areas,Roads,Industrial and commercial areas,4563
Vineyards,Vineyards,Orchards and fruit growing,Vineyards,4224
Industrial and commercial areas,Industrial and commercial areas,Woody moorlands,Industrial and commercial areas,4075
Water,Water,Orchards and fruit growing,Water,4025
Orchards and fruit growing,Orchards and fruit growing,Woody moorlands,Orchards and fruit growing,3561
Vineyards,Vineyards,Sunflower,Vineyards,3511
Vineyards,Vineyards,Diffuse built-up area,Vineyards,3467
Orchards and fruit growing,Orchards and fruit growing,Orchards and fruit growing,Woody moorlands,3458
Orchards and fruit growing,Orchards and fruit growing,Softwood forest,Orchards and fruit growing,3185
