
Train 12467, Val 496, Test 1153
TOTAL TRAINABLE PARAMETERS : 97319
RATIOS: Temporal  88.5% , Classifier  11.5%
EPOCH 1/2
Step [100/12467], Loss: 2.0043, Acc : 35.69
Step [200/12467], Loss: 1.3019, Acc : 59.85
Step [300/12467], Loss: 1.0012, Acc : 68.85
Step [400/12467], Loss: 0.8328, Acc : 73.74
Step [500/12467], Loss: 0.7250, Acc : 76.85
Step [600/12467], Loss: 0.6482, Acc : 79.07
Step [700/12467], Loss: 0.5916, Acc : 80.71
Step [800/12467], Loss: 0.5464, Acc : 82.03
Step [900/12467], Loss: 0.5110, Acc : 83.02
Step [1000/12467], Loss: 0.4799, Acc : 83.93
Step [1100/12467], Loss: 0.4543, Acc : 84.65
Step [1200/12467], Loss: 0.4343, Acc : 85.22
Step [1300/12467], Loss: 0.4160, Acc : 85.74
Step [1400/12467], Loss: 0.3989, Acc : 86.23
Step [1500/12467], Loss: 0.3840, Acc : 86.68
Step [1600/12467], Loss: 0.3704, Acc : 87.10
Step [1700/12467], Loss: 0.3584, Acc : 87.45
Step [1800/12467], Loss: 0.3474, Acc : 87.78
Step [1900/12467], Loss: 0.3372, Acc : 88.08
Step [2000/12467], Loss: 0.3282, Acc : 88.34
Step [2100/12467], Loss: 0.3203, Acc : 88.58
Step [2200/12467], Loss: 0.3121, Acc : 88.82
Step [2300/12467], Loss: 0.3049, Acc : 89.03
Step [2400/12467], Loss: 0.2981, Acc : 89.22
Step [2500/12467], Loss: 0.2917, Acc : 89.42
Step [2600/12467], Loss: 0.2860, Acc : 89.59
Step [2700/12467], Loss: 0.2804, Acc : 89.76
Step [2800/12467], Loss: 0.2754, Acc : 89.91
Step [2900/12467], Loss: 0.2707, Acc : 90.06
Step [3000/12467], Loss: 0.2660, Acc : 90.21
Step [3100/12467], Loss: 0.2616, Acc : 90.35
Step [3200/12467], Loss: 0.2575, Acc : 90.47
Step [3300/12467], Loss: 0.2535, Acc : 90.59
Step [3400/12467], Loss: 0.2497, Acc : 90.71
Step [3500/12467], Loss: 0.2459, Acc : 90.83
Step [3600/12467], Loss: 0.2427, Acc : 90.93
Step [3700/12467], Loss: 0.2393, Acc : 91.03
Step [3800/12467], Loss: 0.2361, Acc : 91.14
Step [3900/12467], Loss: 0.2331, Acc : 91.23
Step [4000/12467], Loss: 0.2301, Acc : 91.32
Step [4100/12467], Loss: 0.2273, Acc : 91.41
Step [4200/12467], Loss: 0.2247, Acc : 91.50
Step [4300/12467], Loss: 0.2221, Acc : 91.57
Step [4400/12467], Loss: 0.2197, Acc : 91.64
Step [4500/12467], Loss: 0.2174, Acc : 91.72
Step [4600/12467], Loss: 0.2150, Acc : 91.79
Step [4700/12467], Loss: 0.2128, Acc : 91.86
Step [4800/12467], Loss: 0.2107, Acc : 91.92
Step [4900/12467], Loss: 0.2086, Acc : 91.98
Step [5000/12467], Loss: 0.2067, Acc : 92.04
Step [5100/12467], Loss: 0.2049, Acc : 92.09
Step [5200/12467], Loss: 0.2030, Acc : 92.15
Step [5300/12467], Loss: 0.2012, Acc : 92.22
