
Train 11916, Val 1583, Test 618
TOTAL TRAINABLE PARAMETERS : 97319
RATIOS: Temporal  88.5% , Classifier  11.5%
EPOCH 1/10
Step [100/11916], Loss: 1.9383, Acc : 40.69
Step [200/11916], Loss: 1.2639, Acc : 61.82
Step [300/11916], Loss: 0.9717, Acc : 70.41
Step [400/11916], Loss: 0.8089, Acc : 75.04
Step [500/11916], Loss: 0.7038, Acc : 77.97
Step [600/11916], Loss: 0.6270, Acc : 80.19
Step [700/11916], Loss: 0.5699, Acc : 81.82
Step [800/11916], Loss: 0.5259, Acc : 83.06
Step [900/11916], Loss: 0.4909, Acc : 84.07
Step [1000/11916], Loss: 0.4612, Acc : 84.89
Step [1100/11916], Loss: 0.4363, Acc : 85.61
Step [1200/11916], Loss: 0.4144, Acc : 86.25
Step [1300/11916], Loss: 0.3960, Acc : 86.77
Step [1400/11916], Loss: 0.3794, Acc : 87.24
Step [1500/11916], Loss: 0.3655, Acc : 87.64
Step [1600/11916], Loss: 0.3529, Acc : 88.00
Step [1700/11916], Loss: 0.3410, Acc : 88.35
Step [1800/11916], Loss: 0.3309, Acc : 88.63
Step [1900/11916], Loss: 0.3213, Acc : 88.91
Step [2000/11916], Loss: 0.3128, Acc : 89.14
Step [2100/11916], Loss: 0.3048, Acc : 89.37
Step [2200/11916], Loss: 0.2976, Acc : 89.57
Step [2300/11916], Loss: 0.2910, Acc : 89.76
Step [2400/11916], Loss: 0.2848, Acc : 89.94
Step [2500/11916], Loss: 0.2789, Acc : 90.11
Step [2600/11916], Loss: 0.2730, Acc : 90.27
Step [2700/11916], Loss: 0.2677, Acc : 90.42
Step [2800/11916], Loss: 0.2628, Acc : 90.56
Step [2900/11916], Loss: 0.2581, Acc : 90.70
Step [3000/11916], Loss: 0.2537, Acc : 90.83
Step [3100/11916], Loss: 0.2498, Acc : 90.94
Step [3200/11916], Loss: 0.2457, Acc : 91.06
Step [3300/11916], Loss: 0.2422, Acc : 91.17
Step [3400/11916], Loss: 0.2386, Acc : 91.28
Step [3500/11916], Loss: 0.2349, Acc : 91.39
Step [3600/11916], Loss: 0.2316, Acc : 91.49
Step [3700/11916], Loss: 0.2285, Acc : 91.58
Step [3800/11916], Loss: 0.2256, Acc : 91.67
Step [3900/11916], Loss: 0.2228, Acc : 91.76
Step [4000/11916], Loss: 0.2201, Acc : 91.84
Step [4100/11916], Loss: 0.2176, Acc : 91.92
Step [4200/11916], Loss: 0.2151, Acc : 91.99
Step [4300/11916], Loss: 0.2127, Acc : 92.06
Step [4400/11916], Loss: 0.2105, Acc : 92.13
Step [4500/11916], Loss: 0.2083, Acc : 92.20
Step [4600/11916], Loss: 0.2061, Acc : 92.27
Step [4700/11916], Loss: 0.2041, Acc : 92.33
Step [4800/11916], Loss: 0.2021, Acc : 92.38
Step [4900/11916], Loss: 0.2002, Acc : 92.45
Step [5000/11916], Loss: 0.1982, Acc : 92.51
Step [5100/11916], Loss: 0.1962, Acc : 92.58
Step [5200/11916], Loss: 0.1944, Acc : 92.63
Step [5300/11916], Loss: 0.1927, Acc : 92.68
